,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
38,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1957,1000 No,25750.5,X,Figure from international organizations,nan
39,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1957,1000 No,4094.031,X,Figure from international organizations,nan
40,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1958,1000 No,30804.081,X,Figure from international organizations,nan
41,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1958,1000 No,15140.088,X,Figure from international organizations,nan
42,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1958,1000 No,15663.993,X,Figure from international organizations,nan
43,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1958,1000 No,26437.028,X,Figure from international organizations,nan
44,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1958,1000 No,4317.58,X,Figure from international organizations,nan
45,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1959,1000 No,31750.43,X,Figure from international organizations,nan
46,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1959,1000 No,15609.559,X,Figure from international organizations,nan
47,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1959,1000 No,16140.871,X,Figure from international organizations,nan
48,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1959,1000 No,27144.631,X,Figure from international organizations,nan
49,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1959,1000 No,4553.8,X,Figure from international organizations,nan
50,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1960,1000 No,32718.461,X,Figure from international organizations,nan
51,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1960,1000 No,16089.652,X,Figure from international organizations,nan
52,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1960,1000 No,16628.809,X,Figure from international organizations,nan
53,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1960,1000 No,27868.047,X,Figure from international organizations,nan
54,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1960,1000 No,4802.582,X,Figure from international organizations,nan
55,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1961,1000 No,33621.982,X,Figure from international organizations,nan
56,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1961,1000 No,16535.97,X,Figure from international organizations,nan
57,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1961,1000 No,17086.013,X,Figure from international organizations,nan
58,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1961,1000 No,28606.192,X,Figure from international organizations,nan
59,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1961,1000 No,5060.58,X,Figure from international organizations,nan
60,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1962,1000 No,34533.889,X,Figure from international organizations,nan
61,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1962,1000 No,16985.297,X,Figure from international organizations,nan
62,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1962,1000 No,17548.591,X,Figure from international organizations,nan
