,ma_tinh,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
10-2022,10,2022,770589,,,193941,70.0
11-2022,11,2022,635921,,,160149,68.4
12-2022,12,2022,482096,,,124378,67.9
14-2022,14,2022,1300125,,,335725,70.9
15-2022,15,2022,847245,,,201466,69.7
17-2022,17,2022,875379,,,210891,72.7
19-2022,19,2022,1335987,,,330546,73.7
20-2022,20,2022,802090,,,193827,72.5
22-2022,22,2022,1362876,,,330063,73.5
24-2022,24,2022,1890925,,,466316,73.4
25-2022,25,2022,1516921,,,355516,73.5
26-2022,26,2022,1197617,,,296312,74.4
27-2022,27,2022,1488250,,,387786,74.3
30-2022,30,2022,1946820,,,445090,74.8
31-2022,31,2022,2088022,,,501644,74.7
33-2022,33,2022,1290852,,,301939,74.7
34-2022,34,2022,1878538,,,412377,75.4
35-2022,35,2022,878052,,,203126,74.7
36-2022,36,2022,1876854,,,394857,74.5
37-2022,37,2022,1010751,,,222198,74.3
38-2022,38,2022,3722059,,,866736,73.4
40-2022,40,2022,3419989,,,791371,73.1
42-2022,42,2022,1323745,,,291305,72.8
44-2022,44,2022,913862,,,213584,72.9
45-2022,45,2022,650946,,,150098,69.3
46-2022,46,2022,1160224,,,290877,72.3
48-2022,48,2022,1220187,,,331368,76.2
49-2022,49,2022,1519381,,,356249,73.1
51-2022,51,2022,1245649,,,291372,72.5
52-2022,52,2022,1504285,,,356770,73.5
54-2022,54,2022,876619,,,217335,73.5
56-2022,56,2022,1253969,,,332472,73.9
58-2022,58,2022,598683,,,146598,73.1
60-2022,60,2022,1252056,,,329769,74.6
62-2022,62,2022,579914,,,150712,68.0
64-2022,64,2022,1590981,,,414516,71.2
66-2022,66,2022,1918440,,,484451,71.4
67-2022,67,2022,670558,,,171626,70.3
68-2022,68,2022,1332532,,,346882,73.3
70-2022,70,2022,1034667,,,275382,74.0
72-2022,72,2022,1188758,,,315579,74.8
74-2022,74,2022,2763124,,,891936,74.7
75-2022,75,2022,3255806,,,901668,76.3
77-2022,77,2022,1178695,,,314810,76.4
79-2022,79,2022,9389717,,,2837320,76.3
80-2022,80,2022,1734259,,,455413,76.1
82-2022,82,2022,1785236,,,443390,75.9
83-2022,83,2022,1298006,,,306239,75.7
84-2022,84,2022,1019258,,,253230,74.7
86-2022,86,2022,1028822,,,250777,75.4
87-2022,87,2022,1600170,,,390856,74.7
89-2022,89,2022,1905516,,,467283,73.7
91-2022,91,2022,1751758,,,447186,74.4
92-2022,92,2022,1252348,,,342119,75.8
93-2022,93,2022,729467,,,180542,75.5
94-2022,94,2022,1197823,,,294583,74.3
95-2022,95,2022,921809,,,245756,74.6
96-2022,96,2022,1207627,,,306260,75.1
8-2016,8,2016,,,,,0.0
8-2017,8,2017,,,,,0.0
8-2018,8,2018,,,,,0.0
8-2019,8,2019,,,,,0.0
8-2020,8,2020,,,,,0.0
8-2021,8,2021,,,,,0.0
8-2022,8,2022,,,,,0.0
