,ma_tinh,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
2016,TOÀN QUỐC,2016,93250704,331230.79999999999,60.479999999999997,23902335,73.4
2017,TOÀN QUỐC,2017,94285951,331230.79999999999,66.75,23661004,73.5
2018,TOÀN QUỐC,2018,95385184,331235.70000000001,73.480000000000004,23526791,73.5
2020,TOÀN QUỐC,2020,97582694,33134.400000000001,82.439999999999998,24934000,73.7
2021,TOÀN QUỐC,2021,98506193,33134.599999999999,86.079999999999998,25251635,73.6
2019,TOÀN QUỐC,2019,96483981,331236.0,79.879999999999995,24920265,73.6
20,TOÀN QUỐC,20,,,,,0.0
2022,TOÀN QUỐC,2022,99474417,,,25309635,73.6
