,ma_huyen,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
835-2019,835,2019,137143,,,34050,
836-2019,836,2019,184386,,,44848,
837-2019,837,2019,127759,,,30190,
838-2019,838,2019,113122,,,26318,
842-2019,842,2019,110299,,,32513,
844-2019,844,2019,147541,,,35353,
845-2019,845,2019,102249,,,23402,
846-2019,846,2019,107165,,,26949,
847-2019,847,2019,143269,,,35713,
848-2019,848,2019,120610,,,28327,
849-2019,849,2019,145180,,,35264,
850-2019,850,2019,78162,,,19458,
851-2019,851,2019,47413,,,12511,
855-2019,855,2019,135885,,,35707,
857-2019,857,2019,166761,,,43601,
858-2019,858,2019,96111,,,22789,
859-2019,859,2019,149255,,,33056,
860-2019,860,2019,150857,,,35909,
861-2019,861,2019,94722,,,24562,
862-2019,862,2019,129324,,,29077,
863-2019,863,2019,95622,,,23952,
866-2019,866,2019,163913,,,44421,
867-2019,867,2019,105796,,,26928,
868-2019,868,2019,76421,,,19504,
869-2019,869,2019,75409,,,18172,
870-2019,870,2019,120522,,,28294,
871-2019,871,2019,99952,,,26131,
872-2019,872,2019,131713,,,34452,
873-2019,873,2019,196895,,,49274,
874-2019,874,2019,134829,,,32860,
875-2019,875,2019,180404,,,44987,
876-2019,876,2019,164159,,,41295,
877-2019,877,2019,146582,,,34875,
883-2019,883,2019,270246,,,73230,
884-2019,884,2019,101066,,,25500,
886-2019,886,2019,148579,,,34276,
887-2019,887,2019,141123,,,33331,
888-2019,888,2019,188905,,,46780,
889-2019,889,2019,206581,,,50052,
890-2019,890,2019,107706,,,25488,
891-2019,891,2019,115997,,,27950,
892-2019,892,2019,151200,,,38436,
893-2019,893,2019,307721,,,74049,
894-2019,894,2019,163126,,,41074,
899-2019,899,2019,225915,,,61184,
900-2019,900,2019,48157,,,13266,
902-2019,902,2019,79402,,,21086,
903-2019,903,2019,155416,,,39721,
904-2019,904,2019,125265,,,32028,
905-2019,905,2019,159054,,,43230,
906-2019,906,2019,223844,,,60635,
907-2019,907,2019,132133,,,33192,
908-2019,908,2019,114916,,,28494,
909-2019,909,2019,115683,,,28960,
910-2019,910,2019,81834,,,20302,
911-2019,911,2019,141508,,,41256,
912-2019,912,2019,17576,,,4597,
913-2019,913,2019,63387,,,15463,
914-2019,914,2019,28991,,,7554,
916-2019,916,2019,271289,,,88347,
917-2019,917,2019,127758,,,32205,
918-2019,918,2019,141766,,,40096,
919-2019,919,2019,105011,,,29398,
923-2019,923,2019,155156,,,40157,
924-2019,924,2019,98288,,,24058,
925-2019,925,2019,116518,,,29429,
926-2019,926,2019,98358,,,24016,
927-2019,927,2019,109568,,,26582,
930-2019,930,2019,73151,,,18758,
931-2019,931,2019,55432,,,13690,
932-2019,932,2019,96768,,,24078,
933-2019,933,2019,88057,,,22779,
934-2019,934,2019,187922,,,46045,
935-2019,935,2019,90037,,,22213,
936-2019,936,2019,77310,,,18533,
937-2019,937,2019,62124,,,14805,
941-2019,941,2019,135226,,,35975,
942-2019,942,2019,94756,,,23057,
943-2019,943,2019,148793,,,35612,
944-2019,944,2019,90124,,,20303,
945-2019,945,2019,58273,,,14219,
946-2019,946,2019,93768,,,21247,
947-2019,947,2019,148926,,,38288,
948-2019,948,2019,74026,,,18013,
949-2019,949,2019,73292,,,16516,
950-2019,950,2019,164030,,,41126,
951-2019,951,2019,112016,,,26603,
954-2019,954,2019,154835,,,42386,
956-2019,956,2019,111763,,,29773,
957-2019,957,2019,124254,,,32961,
958-2019,958,2019,100823,,,26234,
959-2019,959,2019,142929,,,40332,
960-2019,960,2019,152518,,,41876,
961-2019,961,2019,117581,,,32403,
964-2019,964,2019,225624,,,62228,
966-2019,966,2019,100099,,,24944,
967-2019,967,2019,135815,,,33729,
968-2019,968,2019,197652,,,51051,
969-2019,969,2019,136604,,,34039,
970-2019,970,2019,175591,,,45980,
971-2019,971,2019,56812,,,14261,
972-2019,972,2019,97653,,,24772,
973-2019,973,2019,66866,,,17053,
