,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
00001-2019,00001,2019,21942,,,5537,
00004-2019,00004,2019,7044,,,1602,
00006-2019,00006,2019,23742,,,6163,
00007-2019,00007,2019,15979,,,4088,
00008-2019,00008,2019,21084,,,5448,
00010-2019,00010,2019,7694,,,1854,
00013-2019,00013,2019,7883,,,1742,
00016-2019,00016,2019,19353,,,4965,
00019-2019,00019,2019,8911,,,2098,
00022-2019,00022,2019,14365,,,3529,
00025-2019,00025,2019,20363,,,5359,
00028-2019,00028,2019,14223,,,3696,
00031-2019,00031,2019,17665,,,4701,
00034-2019,00034,2019,21393,,,5831,
00037-2019,00037,2019,16856,,,4428,
00040-2019,00040,2019,9394,,,2442,
00043-2019,00043,2019,6967,,,1662,
00046-2019,00046,2019,5367,,,1223,
00049-2019,00049,2019,5390,,,1341,
00052-2019,00052,2019,5242,,,1273,
00055-2019,00055,2019,6169,,,1488,
00058-2019,00058,2019,5148,,,1257,
00061-2019,00061,2019,5194,,,1338,
00064-2019,00064,2019,5787,,,1402,
00067-2019,00067,2019,22946,,,6012,
00070-2019,00070,2019,5331,,,1263,
00073-2019,00073,2019,6314,,,1476,
00076-2019,00076,2019,6974,,,1767,
00079-2019,00079,2019,4640,,,1197,
00082-2019,00082,2019,7029,,,1735,
00085-2019,00085,2019,4842,,,1165,
00088-2019,00088,2019,5484,,,1309,
00091-2019,00091,2019,26064,,,6787,
00094-2019,00094,2019,15592,,,4137,
00097-2019,00097,2019,18354,,,4674,
00100-2019,00100,2019,10280,,,2511,
00103-2019,00103,2019,27174,,,7620,
00106-2019,00106,2019,23278,,,5711,
00109-2019,00109,2019,24768,,,6074,
00112-2019,00112,2019,14596,,,3612,
00115-2019,00115,2019,28926,,,7560,
00118-2019,00118,2019,39341,,,10185,
00121-2019,00121,2019,24296,,,6444,
00124-2019,00124,2019,27694,,,7127,
00127-2019,00127,2019,22373,,,5852,
00130-2019,00130,2019,15074,,,3978,
00133-2019,00133,2019,23917,,,6069,
00136-2019,00136,2019,19013,,,4901,
00139-2019,00139,2019,31381,,,8231,
00142-2019,00142,2019,17500,,,4425,
00145-2019,00145,2019,22015,,,5879,
00148-2019,00148,2019,26406,,,7233,
00151-2019,00151,2019,14205,,,3740,
00154-2019,00154,2019,9834,,,2511,
00157-2019,00157,2019,34634,,,9285,
00160-2019,00160,2019,21240,,,5728,
00163-2019,00163,2019,38028,,,13797,
00166-2019,00166,2019,28222,,,8509,
00167-2019,00167,2019,26606,,,8664,
00169-2019,00169,2019,34651,,,12061,
00172-2019,00172,2019,46764,,,13881,
00175-2019,00175,2019,53444,,,16973,
00178-2019,00178,2019,11176,,,2790,
00181-2019,00181,2019,9538,,,2336,
00184-2019,00184,2019,8087,,,2123,
00187-2019,00187,2019,37345,,,14331,
00190-2019,00190,2019,33178,,,8680,
00193-2019,00193,2019,16607,,,4274,
00196-2019,00196,2019,18334,,,4697,
00199-2019,00199,2019,28609,,,7986,
00202-2019,00202,2019,9589,,,2287,
00205-2019,00205,2019,17395,,,4466,
00208-2019,00208,2019,14716,,,3823,
00211-2019,00211,2019,16604,,,4343,
00214-2019,00214,2019,12002,,,3371,
00217-2019,00217,2019,23933,,,6579,
00220-2019,00220,2019,17012,,,4341,
00223-2019,00223,2019,18195,,,5045,
00226-2019,00226,2019,10255,,,2674,
00229-2019,00229,2019,14092,,,3731,
00232-2019,00232,2019,19934,,,5274,
00235-2019,00235,2019,7653,,,2076,
00238-2019,00238,2019,15569,,,4631,
00241-2019,00241,2019,5972,,,1414,
00244-2019,00244,2019,19795,,,5077,
00247-2019,00247,2019,6809,,,1661,
00256-2019,00256,2019,8457,,,2018,
00259-2019,00259,2019,8115,,,1976,
00262-2019,00262,2019,8949,,,2166,
00265-2019,00265,2019,8647,,,2135,
00268-2019,00268,2019,24790,,,6324,
00271-2019,00271,2019,21165,,,5354,
00274-2019,00274,2019,11791,,,3003,
00277-2019,00277,2019,9707,,,2419,
00280-2019,00280,2019,16595,,,4498,
00283-2019,00283,2019,51642,,,14082,
00286-2019,00286,2019,16241,,,4102,
00289-2019,00289,2019,11946,,,3056,
00292-2019,00292,2019,14786,,,3734,
00295-2019,00295,2019,19784,,,5152,
00298-2019,00298,2019,21258,,,5627,
00301-2019,00301,2019,25108,,,6644,
00304-2019,00304,2019,38648,,,10936,
00307-2019,00307,2019,48663,,,13304,
00310-2019,00310,2019,48959,,,13977,
00313-2019,00313,2019,28344,,,7521,
00316-2019,00316,2019,48500,,,13830,
00319-2019,00319,2019,24518,,,6340,
00322-2019,00322,2019,39485,,,11083,
00325-2019,00325,2019,16624,,,4475,
00328-2019,00328,2019,30891,,,8222,
00331-2019,00331,2019,40278,,,10869,
00334-2019,00334,2019,14143,,,3706,
00337-2019,00337,2019,74792,,,21339,
00340-2019,00340,2019,23275,,,6256,
00343-2019,00343,2019,49646,,,14692,
00346-2019,00346,2019,29021,,,8301,
00349-2019,00349,2019,35683,,,10242,
00352-2019,00352,2019,21885,,,5725,
00355-2019,00355,2019,31370,,,9072,
00358-2019,00358,2019,24444,,,6673,
00361-2019,00361,2019,18108,,,5211,
00364-2019,00364,2019,35286,,,10159,
00367-2019,00367,2019,18924,,,5153,
00370-2019,00370,2019,12062,,,3775,
00373-2019,00373,2019,13144,,,3548,
00376-2019,00376,2019,4849,,,1172,
00379-2019,00379,2019,17015,,,4300,
00382-2019,00382,2019,14725,,,3799,
00385-2019,00385,2019,12556,,,3160,
00388-2019,00388,2019,9422,,,2382,
00391-2019,00391,2019,14720,,,3750,
00394-2019,00394,2019,11447,,,2973,
00397-2019,00397,2019,13343,,,3448,
00400-2019,00400,2019,11820,,,2986,
00403-2019,00403,2019,11568,,,2892,
00406-2019,00406,2019,17108,,,4214,
00409-2019,00409,2019,11328,,,2928,
00412-2019,00412,2019,13080,,,3309,
00415-2019,00415,2019,15362,,,3782,
00418-2019,00418,2019,19302,,,4989,
00421-2019,00421,2019,9124,,,2245,
00424-2019,00424,2019,10702,,,2725,
00427-2019,00427,2019,21880,,,5498,
00430-2019,00430,2019,8920,,,2168,
00433-2019,00433,2019,14503,,,3664,
00436-2019,00436,2019,13915,,,3454,
00439-2019,00439,2019,11127,,,2688,
00442-2019,00442,2019,14120,,,3647,
00445-2019,00445,2019,10939,,,2718,
00448-2019,00448,2019,17442,,,4368,
00451-2019,00451,2019,11388,,,2916,
00454-2019,00454,2019,25274,,,6043,
00457-2019,00457,2019,16508,,,4098,
00460-2019,00460,2019,20079,,,4785,
00463-2019,00463,2019,13822,,,3426,
00466-2019,00466,2019,15553,,,3900,
00469-2019,00469,2019,16057,,,4167,
00472-2019,00472,2019,18937,,,4812,
00475-2019,00475,2019,11276,,,2692,
00478-2019,00478,2019,21453,,,5468,
00481-2019,00481,2019,12821,,,3271,
00484-2019,00484,2019,17731,,,4355,
00487-2019,00487,2019,19683,,,4897,
00490-2019,00490,2019,14639,,,3743,
00493-2019,00493,2019,31815,,,11978,
00496-2019,00496,2019,18047,,,4454,
00499-2019,00499,2019,16596,,,4887,
00502-2019,00502,2019,15903,,,4068,
00505-2019,00505,2019,19625,,,4779,
00508-2019,00508,2019,20889,,,5984,
00511-2019,00511,2019,12146,,,2911,
00514-2019,00514,2019,14202,,,4408,
00517-2019,00517,2019,5057,,,1284,
00520-2019,00520,2019,14163,,,3476,
00523-2019,00523,2019,12789,,,3083,
00526-2019,00526,2019,12679,,,3131,
00529-2019,00529,2019,17817,,,4414,
00532-2019,00532,2019,13773,,,3487,
00535-2019,00535,2019,17959,,,4368,
00538-2019,00538,2019,11236,,,2822,
00541-2019,00541,2019,7207,,,1789,
00544-2019,00544,2019,13633,,,3308,
00547-2019,00547,2019,5887,,,1424,
00550-2019,00550,2019,11907,,,3393,
00553-2019,00553,2019,15351,,,3904,
00556-2019,00556,2019,20846,,,5433,
00559-2019,00559,2019,9221,,,2304,
00562-2019,00562,2019,12697,,,3128,
00565-2019,00565,2019,29885,,,10568,
00568-2019,00568,2019,13118,,,3248,
00571-2019,00571,2019,13715,,,3497,
00574-2019,00574,2019,6224,,,1513,
00577-2019,00577,2019,13215,,,3291,
00580-2019,00580,2019,13042,,,3373,
00583-2019,00583,2019,8622,,,2169,
00586-2019,00586,2019,6345,,,1621,
00589-2019,00589,2019,7592,,,1854,
00592-2019,00592,2019,26089,,,7755,
00595-2019,00595,2019,8074,,,1974,
00598-2019,00598,2019,10529,,,2679,
00601-2019,00601,2019,23728,,,6672,
00602-2019,00602,2019,16929,,,7273,
00604-2019,00604,2019,13367,,,3539,
00607-2019,00607,2019,19291,,,5469,
00610-2019,00610,2019,40339,,,11155,
00611-2019,00611,2019,18368,,,5398,
00613-2019,00613,2019,28669,,,8386,
00616-2019,00616,2019,45152,,,13858,
00617-2019,00617,2019,42065,,,12427,
00619-2019,00619,2019,39161,,,12088,
00620-2019,00620,2019,22657,,,7242,
00622-2019,00622,2019,16889,,,4557,
00623-2019,00623,2019,18086,,,4950,
00625-2019,00625,2019,27131,,,8789,
00626-2019,00626,2019,26706,,,8006,
00628-2019,00628,2019,25381,,,6639,
00631-2019,00631,2019,30585,,,8939,
00632-2019,00632,2019,15332,,,4412,
00634-2019,00634,2019,30898,,,8168,
00637-2019,00637,2019,39701,,,12272,
00640-2019,00640,2019,16762,,,4254,
00643-2019,00643,2019,34989,,,10061,
00646-2019,00646,2019,19098,,,5209,
00649-2019,00649,2019,39260,,,10735,
00652-2019,00652,2019,11444,,,2986,
00655-2019,00655,2019,16532,,,4315,
00658-2019,00658,2019,19412,,,5179,
00661-2019,00661,2019,5911,,,1495,
00664-2019,00664,2019,26981,,,6981,
00667-2019,00667,2019,15609,,,4003,
00670-2019,00670,2019,6220,,,1533,
00673-2019,00673,2019,13194,,,3392,
00676-2019,00676,2019,13297,,,3337,
00679-2019,00679,2019,11461,,,2991,
00682-2019,00682,2019,16100,,,4013,
00685-2019,00685,2019,9080,,,2250,
00688-2019,00688,2019,5941,,,1584,
00691-2019,00691,2019,8591,,,2215,
00692-2019,00692,2019,5137,,,1333,
00694-2019,00694,2019,10667,,,3001,
00697-2019,00697,2019,11601,,,3046,
00700-2019,00700,2019,3720,,,990,
00703-2019,00703,2019,2421,,,582,
00706-2019,00706,2019,5580,,,1409,
00709-2019,00709,2019,2899,,,739,
00712-2019,00712,2019,2615,,,659,
00715-2019,00715,2019,4885,,,1094,
00718-2019,00718,2019,4353,,,981,
00721-2019,00721,2019,7624,,,1926,
00724-2019,00724,2019,3914,,,925,
00727-2019,00727,2019,2736,,,620,
00730-2019,00730,2019,5266,,,1198,
00733-2019,00733,2019,4200,,,983,
00736-2019,00736,2019,3231,,,782,
00739-2019,00739,2019,3535,,,796,
00742-2019,00742,2019,3667,,,815,
00745-2019,00745,2019,6337,,,1504,
00748-2019,00748,2019,3716,,,845,
00751-2019,00751,2019,3876,,,897,
00754-2019,00754,2019,2265,,,497,
00757-2019,00757,2019,3420,,,803,
00760-2019,00760,2019,4385,,,949,
00763-2019,00763,2019,4580,,,1059,
00766-2019,00766,2019,6791,,,1519,
00769-2019,00769,2019,6550,,,1803,
00772-2019,00772,2019,4784,,,999,
00775-2019,00775,2019,3123,,,692,
00778-2019,00778,2019,5393,,,1168,
00781-2019,00781,2019,3288,,,793,
00784-2019,00784,2019,5062,,,1111,
00787-2019,00787,2019,4292,,,974,
00790-2019,00790,2019,2820,,,714,
00793-2019,00793,2019,6804,,,1375,
00796-2019,00796,2019,3008,,,692,
00799-2019,00799,2019,6325,,,1386,
00802-2019,00802,2019,5467,,,1225,
00805-2019,00805,2019,3921,,,863,
00808-2019,00808,2019,3589,,,896,
00811-2019,00811,2019,3302,,,810,
00814-2019,00814,2019,7301,,,1598,
00815-2019,00815,2019,5531,,,1186,
00817-2019,00817,2019,5058,,,1227,
00820-2019,00820,2019,7611,,,2043,
00823-2019,00823,2019,2923,,,620,
00826-2019,00826,2019,3246,,,762,
00829-2019,00829,2019,3752,,,824,
00832-2019,00832,2019,3656,,,949,
00835-2019,00835,2019,4422,,,1149,
00838-2019,00838,2019,7161,,,1514,
00841-2019,00841,2019,4055,,,983,
00844-2019,00844,2019,6123,,,1340,
00847-2019,00847,2019,6789,,,1629,
00850-2019,00850,2019,2387,,,600,
00853-2019,00853,2019,6576,,,1582,
00856-2019,00856,2019,3762,,,955,
00859-2019,00859,2019,9058,,,2114,
00862-2019,00862,2019,4327,,,964,
00865-2019,00865,2019,7942,,,1802,
00868-2019,00868,2019,4821,,,1048,
00871-2019,00871,2019,8424,,,1960,
00874-2019,00874,2019,6505,,,1709,
00877-2019,00877,2019,3330,,,754,
00880-2019,00880,2019,3355,,,790,
00883-2019,00883,2019,4875,,,1130,
00886-2019,00886,2019,2455,,,598,
00889-2019,00889,2019,5049,,,1191,
00892-2019,00892,2019,4741,,,1125,
00895-2019,00895,2019,2959,,,754,
00898-2019,00898,2019,3277,,,781,
00901-2019,00901,2019,4049,,,962,
00904-2019,00904,2019,7383,,,1825,
00907-2019,00907,2019,2514,,,581,
00910-2019,00910,2019,2736,,,631,
00913-2019,00913,2019,9022,,,2248,
00916-2019,00916,2019,5544,,,1361,
00919-2019,00919,2019,6602,,,1673,
00922-2019,00922,2019,6922,,,1714,
00925-2019,00925,2019,7535,,,1938,
00928-2019,00928,2019,2742,,,752,
00931-2019,00931,2019,880,,,216,
00934-2019,00934,2019,2647,,,723,
00937-2019,00937,2019,980,,,248,
00940-2019,00940,2019,3257,,,814,
00943-2019,00943,2019,2371,,,524,
00946-2019,00946,2019,4391,,,1120,
00949-2019,00949,2019,4486,,,1148,
00952-2019,00952,2019,4014,,,1057,
00955-2019,00955,2019,5741,,,1512,
00958-2019,00958,2019,5738,,,1432,
00961-2019,00961,2019,8062,,,2016,
00964-2019,00964,2019,2532,,,655,
00967-2019,00967,2019,4708,,,1189,
00970-2019,00970,2019,5025,,,1293,
00973-2019,00973,2019,4527,,,1207,
00976-2019,00976,2019,4215,,,1032,
00979-2019,00979,2019,6032,,,1484,
00982-2019,00982,2019,6675,,,1573,
00985-2019,00985,2019,5626,,,1324,
00988-2019,00988,2019,3580,,,825,
00991-2019,00991,2019,7542,,,2021,
00994-2019,00994,2019,4110,,,1045,
00997-2019,00997,2019,2098,,,565,
01000-2019,01000,2019,2724,,,647,
01003-2019,01003,2019,2668,,,691,
01006-2019,01006,2019,6992,,,1714,
01009-2019,01009,2019,2569,,,626,
01012-2019,01012,2019,3905,,,1031,
01015-2019,01015,2019,4314,,,1121,
01018-2019,01018,2019,1476,,,360,
01021-2019,01021,2019,4941,,,1380,
01024-2019,01024,2019,2362,,,582,
01027-2019,01027,2019,2068,,,497,
01030-2019,01030,2019,1753,,,415,
01033-2019,01033,2019,3249,,,782,
01036-2019,01036,2019,2811,,,730,
01039-2019,01039,2019,3320,,,725,
01042-2019,01042,2019,3873,,,962,
01045-2019,01045,2019,2112,,,489,
01048-2019,01048,2019,3647,,,915,
01051-2019,01051,2019,3971,,,968,
01054-2019,01054,2019,1903,,,452,
01057-2019,01057,2019,1821,,,415,
01060-2019,01060,2019,2194,,,522,
01063-2019,01063,2019,2289,,,559,
01066-2019,01066,2019,2134,,,514,
01069-2019,01069,2019,2483,,,580,
01072-2019,01072,2019,1752,,,404,
01075-2019,01075,2019,1986,,,487,
01081-2019,01081,2019,2126,,,555,
01084-2019,01084,2019,3177,,,801,
01087-2019,01087,2019,2857,,,734,
01090-2019,01090,2019,3279,,,846,
01093-2019,01093,2019,2914,,,745,
01096-2019,01096,2019,5385,,,1428,
01099-2019,01099,2019,3643,,,914,
01102-2019,01102,2019,4699,,,1221,
01105-2019,01105,2019,3295,,,789,
01108-2019,01108,2019,1408,,,358,
01114-2019,01114,2019,4714,,,1158,
01117-2019,01117,2019,3971,,,941,
01120-2019,01120,2019,2095,,,439,
01123-2019,01123,2019,2306,,,556,
01126-2019,01126,2019,2836,,,641,
01129-2019,01129,2019,3384,,,746,
01132-2019,01132,2019,3650,,,904,
01135-2019,01135,2019,3741,,,928,
01138-2019,01138,2019,3371,,,798,
01141-2019,01141,2019,3779,,,951,
01144-2019,01144,2019,5545,,,1404,
01147-2019,01147,2019,4674,,,1199,
01150-2019,01150,2019,2737,,,713,
01153-2019,01153,2019,15438,,,3944,
01156-2019,01156,2019,3313,,,793,
01159-2019,01159,2019,2387,,,617,
01162-2019,01162,2019,3665,,,989,
01165-2019,01165,2019,2289,,,572,
01168-2019,01168,2019,5209,,,1315,
01171-2019,01171,2019,5159,,,1311,
01174-2019,01174,2019,2067,,,513,
01177-2019,01177,2019,2689,,,651,
01180-2019,01180,2019,4024,,,953,
01183-2019,01183,2019,5368,,,1312,
01186-2019,01186,2019,4844,,,1252,
01189-2019,01189,2019,10122,,,2504,
01192-2019,01192,2019,4395,,,1104,
01195-2019,01195,2019,5576,,,1383,
01198-2019,01198,2019,2768,,,704,
01201-2019,01201,2019,9023,,,2215,
01204-2019,01204,2019,2444,,,671,
01207-2019,01207,2019,4192,,,1171,
01210-2019,01210,2019,5131,,,1335,
01213-2019,01213,2019,8031,,,1895,
01216-2019,01216,2019,7624,,,1956,
01219-2019,01219,2019,2298,,,583,
01222-2019,01222,2019,2631,,,716,
01225-2019,01225,2019,4790,,,1309,
01228-2019,01228,2019,2869,,,776,
01231-2019,01231,2019,1833,,,463,
01234-2019,01234,2019,3057,,,732,
01237-2019,01237,2019,7019,,,1859,
01240-2019,01240,2019,4656,,,1166,
01243-2019,01243,2019,4323,,,1106,
01246-2019,01246,2019,6528,,,1582,
01249-2019,01249,2019,3785,,,960,
01252-2019,01252,2019,2672,,,695,
01255-2019,01255,2019,5022,,,1210,
01258-2019,01258,2019,2865,,,684,
01261-2019,01261,2019,3576,,,842,
01264-2019,01264,2019,5603,,,1315,
01267-2019,01267,2019,11344,,,2812,
01270-2019,01270,2019,8486,,,2082,
01273-2019,01273,2019,9773,,,2284,
01276-2019,01276,2019,8074,,,1921,
01279-2019,01279,2019,7170,,,1754,
01282-2019,01282,2019,9224,,,2465,
01285-2019,01285,2019,4246,,,1035,
01288-2019,01288,2019,2694,,,709,
01290-2019,01290,2019,5489,,,1531,
01291-2019,01291,2019,5822,,,1321,
01294-2019,01294,2019,5923,,,1485,
01296-2019,01296,2019,4265,,,1059,
01297-2019,01297,2019,3050,,,771,
01300-2019,01300,2019,4855,,,1237,
01303-2019,01303,2019,5892,,,1400,
01304-2019,01304,2019,7387,,,1699,
01309-2019,01309,2019,2717,,,678,
01312-2019,01312,2019,5390,,,1300,
01315-2019,01315,2019,3476,,,919,
01316-2019,01316,2019,3027,,,764,
01318-2019,01318,2019,5541,,,1443,
01321-2019,01321,2019,4510,,,1211,
01324-2019,01324,2019,3380,,,884,
01327-2019,01327,2019,4348,,,1125,
01330-2019,01330,2019,3447,,,881,
01333-2019,01333,2019,2923,,,735,
01336-2019,01336,2019,3064,,,771,
01339-2019,01339,2019,4003,,,982,
01342-2019,01342,2019,3368,,,886,
01343-2019,01343,2019,2890,,,753,
01345-2019,01345,2019,3095,,,757,
01348-2019,01348,2019,1103,,,280,
01351-2019,01351,2019,3270,,,858,
01352-2019,01352,2019,2714,,,702,
01354-2019,01354,2019,4030,,,1068,
01357-2019,01357,2019,2949,,,821,
01359-2019,01359,2019,1903,,,483,
01360-2019,01360,2019,3162,,,821,
01363-2019,01363,2019,2986,,,781,
01366-2019,01366,2019,1750,,,435,
01367-2019,01367,2019,2001,,,505,
01372-2019,01372,2019,4647,,,1132,
01375-2019,01375,2019,3470,,,864,
01378-2019,01378,2019,1735,,,434,
01381-2019,01381,2019,1174,,,307,
01384-2019,01384,2019,2084,,,504,
01387-2019,01387,2019,1307,,,319,
01392-2019,01392,2019,4300,,,1048,
01393-2019,01393,2019,1320,,,309,
01399-2019,01399,2019,1572,,,358,
01402-2019,01402,2019,979,,,241,
01411-2019,01411,2019,1840,,,437,
01414-2019,01414,2019,2412,,,611,
01417-2019,01417,2019,2676,,,626,
01420-2019,01420,2019,2362,,,543,
01429-2019,01429,2019,1003,,,227,
01432-2019,01432,2019,1340,,,305,
01435-2019,01435,2019,1255,,,291,
01438-2019,01438,2019,3133,,,697,
01447-2019,01447,2019,5127,,,1321,
01453-2019,01453,2019,2221,,,563,
01456-2019,01456,2019,2435,,,594,
01462-2019,01462,2019,1376,,,285,
01465-2019,01465,2019,1641,,,346,
01468-2019,01468,2019,963,,,231,
01471-2019,01471,2019,3026,,,683,
01474-2019,01474,2019,2051,,,514,
01477-2019,01477,2019,5186,,,1263,
01480-2019,01480,2019,2511,,,607,
01481-2019,01481,2019,2649,,,657,
01483-2019,01483,2019,1281,,,278,
01489-2019,01489,2019,3087,,,741,
01495-2019,01495,2019,5256,,,1353,
01498-2019,01498,2019,1814,,,385,
01501-2019,01501,2019,4029,,,977,
01504-2019,01504,2019,1669,,,360,
01507-2019,01507,2019,1912,,,400,
01516-2019,01516,2019,2952,,,650,
01519-2019,01519,2019,3034,,,688,
01522-2019,01522,2019,2939,,,700,
01525-2019,01525,2019,1908,,,434,
01534-2019,01534,2019,1942,,,443,
01537-2019,01537,2019,2343,,,600,
01540-2019,01540,2019,1935,,,447,
01543-2019,01543,2019,1238,,,297,
01546-2019,01546,2019,1457,,,363,
01549-2019,01549,2019,1209,,,288,
01552-2019,01552,2019,1886,,,459,
01555-2019,01555,2019,1883,,,445,
01558-2019,01558,2019,3391,,,845,
01561-2019,01561,2019,1723,,,417,
01564-2019,01564,2019,1750,,,405,
01567-2019,01567,2019,1481,,,365,
01573-2019,01573,2019,1748,,,436,
01576-2019,01576,2019,4563,,,1086,
01579-2019,01579,2019,3187,,,704,
01582-2019,01582,2019,1564,,,355,
01594-2019,01594,2019,2072,,,455,
01597-2019,01597,2019,2122,,,465,
01603-2019,01603,2019,1799,,,418,
01606-2019,01606,2019,2469,,,590,
01609-2019,01609,2019,2479,,,548,
01615-2019,01615,2019,2316,,,596,
01618-2019,01618,2019,2631,,,603,
01624-2019,01624,2019,2623,,,621,
01627-2019,01627,2019,3429,,,966,
01630-2019,01630,2019,1729,,,423,
01636-2019,01636,2019,2956,,,690,
01639-2019,01639,2019,2874,,,686,
01645-2019,01645,2019,1433,,,323,
01648-2019,01648,2019,5170,,,1392,
01651-2019,01651,2019,2137,,,508,
01654-2019,01654,2019,3632,,,852,
01657-2019,01657,2019,4957,,,1123,
01660-2019,01660,2019,4401,,,938,
01666-2019,01666,2019,1321,,,285,
01669-2019,01669,2019,5429,,,1169,
01672-2019,01672,2019,2221,,,504,
01675-2019,01675,2019,2364,,,590,
01687-2019,01687,2019,2616,,,534,
01693-2019,01693,2019,3987,,,900,
01696-2019,01696,2019,3291,,,707,
01699-2019,01699,2019,1742,,,399,
01702-2019,01702,2019,1660,,,408,
01705-2019,01705,2019,5469,,,1249,
01708-2019,01708,2019,2209,,,522,
01711-2019,01711,2019,1283,,,302,
01714-2019,01714,2019,1189,,,273,
01720-2019,01720,2019,2134,,,481,
01723-2019,01723,2019,1173,,,254,
01726-2019,01726,2019,3966,,,1000,
01729-2019,01729,2019,2371,,,513,
01732-2019,01732,2019,1116,,,320,
01735-2019,01735,2019,1172,,,296,
01738-2019,01738,2019,3386,,,947,
01744-2019,01744,2019,1888,,,516,
01747-2019,01747,2019,1303,,,272,
01750-2019,01750,2019,1400,,,349,
01756-2019,01756,2019,3122,,,845,
01762-2019,01762,2019,1388,,,325,
01765-2019,01765,2019,1490,,,352,
01768-2019,01768,2019,3150,,,860,
01771-2019,01771,2019,1659,,,408,
01774-2019,01774,2019,2661,,,651,
01777-2019,01777,2019,2959,,,742,
01780-2019,01780,2019,782,,,213,
01783-2019,01783,2019,1213,,,317,
01786-2019,01786,2019,4397,,,1003,
01789-2019,01789,2019,2095,,,490,
01792-2019,01792,2019,2801,,,631,
01795-2019,01795,2019,2023,,,493,
01801-2019,01801,2019,1902,,,464,
01804-2019,01804,2019,1129,,,239,
01807-2019,01807,2019,1581,,,364,
01810-2019,01810,2019,1055,,,249,
01813-2019,01813,2019,1927,,,467,
01816-2019,01816,2019,1853,,,435,
01819-2019,01819,2019,2639,,,578,
01822-2019,01822,2019,1928,,,446,
01828-2019,01828,2019,941,,,170,
01831-2019,01831,2019,1858,,,417,
01834-2019,01834,2019,5366,,,1317,
01837-2019,01837,2019,8756,,,2203,
01840-2019,01840,2019,9097,,,2359,
01843-2019,01843,2019,6505,,,1705,
01846-2019,01846,2019,4876,,,1197,
01849-2019,01849,2019,2981,,,746,
01852-2019,01852,2019,3545,,,924,
01855-2019,01855,2019,3014,,,762,
01858-2019,01858,2019,3761,,,909,
01861-2019,01861,2019,2110,,,549,
01864-2019,01864,2019,4691,,,1215,
01867-2019,01867,2019,3036,,,780,
01870-2019,01870,2019,1846,,,492,
01873-2019,01873,2019,2817,,,718,
01876-2019,01876,2019,1372,,,357,
01879-2019,01879,2019,4101,,,1007,
01882-2019,01882,2019,5455,,,1374,
01885-2019,01885,2019,4006,,,1024,
01888-2019,01888,2019,4211,,,1006,
01891-2019,01891,2019,2876,,,710,
01894-2019,01894,2019,3158,,,795,
01897-2019,01897,2019,2739,,,667,
01900-2019,01900,2019,3653,,,857,
01906-2019,01906,2019,4078,,,1004,
01909-2019,01909,2019,2334,,,589,
01912-2019,01912,2019,3292,,,770,
01915-2019,01915,2019,3418,,,870,
01918-2019,01918,2019,2401,,,553,
01921-2019,01921,2019,3027,,,660,
01924-2019,01924,2019,3416,,,792,
01927-2019,01927,2019,3446,,,759,
01930-2019,01930,2019,1277,,,286,
01933-2019,01933,2019,2787,,,680,
01936-2019,01936,2019,6459,,,1504,
01939-2019,01939,2019,2001,,,480,
01942-2019,01942,2019,2833,,,719,
01945-2019,01945,2019,2389,,,561,
01948-2019,01948,2019,1346,,,310,
01951-2019,01951,2019,1429,,,375,
01954-2019,01954,2019,3460,,,842,
01957-2019,01957,2019,3044,,,749,
01960-2019,01960,2019,2645,,,688,
01963-2019,01963,2019,2199,,,539,
01969-2019,01969,2019,1906,,,454,
01975-2019,01975,2019,2152,,,471,
01978-2019,01978,2019,1613,,,356,
01981-2019,01981,2019,1583,,,368,
01984-2019,01984,2019,2401,,,585,
01990-2019,01990,2019,2260,,,471,
01993-2019,01993,2019,1494,,,339,
01999-2019,01999,2019,1869,,,422,
02002-2019,02002,2019,834,,,225,
02005-2019,02005,2019,1717,,,376,
02008-2019,02008,2019,2246,,,511,
02011-2019,02011,2019,2001,,,461,
02014-2019,02014,2019,1785,,,443,
02017-2019,02017,2019,1931,,,491,
02020-2019,02020,2019,6907,,,1700,
02023-2019,02023,2019,3764,,,911,
02026-2019,02026,2019,3143,,,745,
02029-2019,02029,2019,2255,,,539,
02032-2019,02032,2019,1371,,,312,
02035-2019,02035,2019,1663,,,396,
02038-2019,02038,2019,1862,,,429,
02041-2019,02041,2019,2514,,,628,
02044-2019,02044,2019,1625,,,377,
02047-2019,02047,2019,1264,,,275,
02050-2019,02050,2019,3178,,,691,
02053-2019,02053,2019,2270,,,557,
02059-2019,02059,2019,1936,,,403,
02062-2019,02062,2019,1937,,,434,
02065-2019,02065,2019,1503,,,354,
02068-2019,02068,2019,1813,,,391,
02071-2019,02071,2019,1491,,,343,
02077-2019,02077,2019,1441,,,329,
02080-2019,02080,2019,3097,,,722,
02083-2019,02083,2019,1988,,,396,
02086-2019,02086,2019,2565,,,617,
02089-2019,02089,2019,1538,,,410,
02092-2019,02092,2019,2403,,,607,
02095-2019,02095,2019,1642,,,380,
02098-2019,02098,2019,2139,,,488,
02101-2019,02101,2019,2568,,,618,
02104-2019,02104,2019,2856,,,676,
02107-2019,02107,2019,3808,,,941,
02110-2019,02110,2019,2728,,,650,
02113-2019,02113,2019,1730,,,410,
