,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
16726-2019,16726,2019,5595,,,1386,
16729-2019,16729,2019,9722,,,2424,
16732-2019,16732,2019,7738,,,1946,
16735-2019,16735,2019,5702,,,1474,
16738-2019,16738,2019,3634,,,908,
16741-2019,16741,2019,4750,,,1241,
16744-2019,16744,2019,3032,,,813,
16747-2019,16747,2019,3497,,,917,
16750-2019,16750,2019,10828,,,2931,
16753-2019,16753,2019,2053,,,541,
16756-2019,16756,2019,10122,,,2615,
16759-2019,16759,2019,4167,,,1136,
16763-2019,16763,2019,3747,,,1015,
16765-2019,16765,2019,4176,,,1152,
16768-2019,16768,2019,2414,,,654,
16771-2019,16771,2019,6285,,,1582,
16774-2019,16774,2019,6344,,,1698,
16777-2019,16777,2019,4656,,,1158,
16780-2019,16780,2019,4796,,,1237,
16783-2019,16783,2019,3402,,,923,
16786-2019,16786,2019,6464,,,1655,
16789-2019,16789,2019,2194,,,633,
16792-2019,16792,2019,4800,,,1200,
16795-2019,16795,2019,7316,,,1849,
16798-2019,16798,2019,3223,,,853,
16801-2019,16801,2019,6082,,,1496,
16804-2019,16804,2019,9740,,,2560,
16807-2019,16807,2019,2375,,,593,
16810-2019,16810,2019,2463,,,595,
16813-2019,16813,2019,2952,,,811,
16816-2019,16816,2019,5515,,,1451,
16819-2019,16819,2019,4910,,,1222,
16822-2019,16822,2019,4580,,,1146,
16825-2019,16825,2019,1749,,,459,
16828-2019,16828,2019,4486,,,1208,
16831-2019,16831,2019,4763,,,1284,
16834-2019,16834,2019,2244,,,632,
16837-2019,16837,2019,4577,,,1201,
16840-2019,16840,2019,3737,,,893,
16843-2019,16843,2019,3385,,,924,
16846-2019,16846,2019,2234,,,587,
16849-2019,16849,2019,2865,,,761,
16852-2019,16852,2019,4965,,,1325,
16855-2019,16855,2019,6672,,,1814,
16858-2019,16858,2019,3162,,,826,
16861-2019,16861,2019,4872,,,1296,
16864-2019,16864,2019,1675,,,407,
16867-2019,16867,2019,2525,,,668,
16870-2019,16870,2019,5744,,,1386,
16873-2019,16873,2019,2279,,,562,
16876-2019,16876,2019,3866,,,1012,
16879-2019,16879,2019,2617,,,668,
16882-2019,16882,2019,3902,,,1015,
16885-2019,16885,2019,2752,,,739,
16900-2019,16900,2019,4314,,,1134,
16903-2019,16903,2019,4945,,,1363,
16904-2019,16904,2019,3196,,,904,
16906-2019,16906,2019,5191,,,1394,
16909-2019,16909,2019,4732,,,1311,
16912-2019,16912,2019,4888,,,1399,
16915-2019,16915,2019,4075,,,1105,
16921-2019,16921,2019,5462,,,1517,
16924-2019,16924,2019,4192,,,1132,
16927-2019,16927,2019,4510,,,1209,
16930-2019,16930,2019,3404,,,917,
16933-2019,16933,2019,7923,,,2124,
16936-2019,16936,2019,2411,,,618,
16939-2019,16939,2019,10652,,,2600,
16941-2019,16941,2019,5551,,,1413,
16942-2019,16942,2019,7606,,,1966,
16945-2019,16945,2019,6692,,,1690,
16948-2019,16948,2019,3157,,,838,
16951-2019,16951,2019,7797,,,1983,
16954-2019,16954,2019,4043,,,1072,
16957-2019,16957,2019,4180,,,1019,
16960-2019,16960,2019,3573,,,903,
16963-2019,16963,2019,3218,,,803,
16966-2019,16966,2019,3597,,,875,
16969-2019,16969,2019,2755,,,723,
16972-2019,16972,2019,6486,,,1559,
16975-2019,16975,2019,4832,,,1185,
16978-2019,16978,2019,4172,,,992,
16981-2019,16981,2019,7291,,,1784,
16984-2019,16984,2019,9231,,,2327,
16987-2019,16987,2019,2479,,,617,
16993-2019,16993,2019,4138,,,968,
16994-2019,16994,2019,9259,,,2147,
16996-2019,16996,2019,3001,,,758,
17003-2019,17003,2019,4924,,,1185,
17005-2019,17005,2019,3638,,,894,
17008-2019,17008,2019,5319,,,1269,
17011-2019,17011,2019,7514,,,1744,
17014-2019,17014,2019,10929,,,2605,
17017-2019,17017,2019,7247,,,1771,
17020-2019,17020,2019,5121,,,1274,
17023-2019,17023,2019,7984,,,1948,
17026-2019,17026,2019,3653,,,875,
17029-2019,17029,2019,17681,,,4140,
17032-2019,17032,2019,9253,,,2202,
17035-2019,17035,2019,11689,,,2835,
17038-2019,17038,2019,6193,,,1550,
17041-2019,17041,2019,2575,,,683,
17044-2019,17044,2019,3924,,,1041,
17047-2019,17047,2019,9164,,,2346,
17050-2019,17050,2019,4481,,,1119,
17053-2019,17053,2019,2160,,,511,
17056-2019,17056,2019,4486,,,1142,
17059-2019,17059,2019,14183,,,3663,
17062-2019,17062,2019,5432,,,1380,
17065-2019,17065,2019,12454,,,3165,
17068-2019,17068,2019,3754,,,920,
17071-2019,17071,2019,10574,,,2639,
17074-2019,17074,2019,9240,,,2425,
17077-2019,17077,2019,7654,,,1929,
17080-2019,17080,2019,6946,,,1795,
17083-2019,17083,2019,4336,,,1177,
17086-2019,17086,2019,1517,,,393,
17089-2019,17089,2019,6719,,,1694,
17092-2019,17092,2019,4392,,,1171,
17095-2019,17095,2019,1990,,,502,
17098-2019,17098,2019,9588,,,2260,
17101-2019,17101,2019,9062,,,2123,
17104-2019,17104,2019,15799,,,3891,
17107-2019,17107,2019,10226,,,2417,
17110-2019,17110,2019,10650,,,2703,
17113-2019,17113,2019,11529,,,2768,
17116-2019,17116,2019,9052,,,2182,
17119-2019,17119,2019,12847,,,2966,
17122-2019,17122,2019,12502,,,3028,
17125-2019,17125,2019,9445,,,2249,
17128-2019,17128,2019,6732,,,1631,
17131-2019,17131,2019,14804,,,3585,
17134-2019,17134,2019,17645,,,4178,
17137-2019,17137,2019,6827,,,1639,
17140-2019,17140,2019,8082,,,1884,
17143-2019,17143,2019,13810,,,3212,
17146-2019,17146,2019,7654,,,1823,
17149-2019,17149,2019,8382,,,2038,
17152-2019,17152,2019,4664,,,973,
17155-2019,17155,2019,8163,,,1838,
17158-2019,17158,2019,11115,,,2387,
17161-2019,17161,2019,4023,,,946,
17164-2019,17164,2019,12745,,,2851,
17167-2019,17167,2019,7698,,,1708,
17170-2019,17170,2019,12651,,,2850,
17173-2019,17173,2019,4560,,,995,
17176-2019,17176,2019,6875,,,1530,
17179-2019,17179,2019,7979,,,1924,
17182-2019,17182,2019,8137,,,1970,
17185-2019,17185,2019,5052,,,1144,
17188-2019,17188,2019,4739,,,1032,
17191-2019,17191,2019,6275,,,1426,
17194-2019,17194,2019,9338,,,2172,
17197-2019,17197,2019,9711,,,2206,
17200-2019,17200,2019,5067,,,1170,
17203-2019,17203,2019,8605,,,1911,
17206-2019,17206,2019,10159,,,2473,
17209-2019,17209,2019,9572,,,2086,
17212-2019,17212,2019,12888,,,3201,
17215-2019,17215,2019,5163,,,1128,
17218-2019,17218,2019,5367,,,1301,
17221-2019,17221,2019,9594,,,2250,
17224-2019,17224,2019,4107,,,1100,
17227-2019,17227,2019,5355,,,1297,
17230-2019,17230,2019,4171,,,1095,
17233-2019,17233,2019,4909,,,1281,
17236-2019,17236,2019,2858,,,775,
17239-2019,17239,2019,5933,,,1518,
17242-2019,17242,2019,3957,,,1042,
17245-2019,17245,2019,5695,,,1479,
17248-2019,17248,2019,6344,,,1679,
17251-2019,17251,2019,6480,,,1641,
17254-2019,17254,2019,5959,,,1481,
17257-2019,17257,2019,5634,,,1438,
17260-2019,17260,2019,8073,,,2116,
17263-2019,17263,2019,9311,,,2428,
17266-2019,17266,2019,7976,,,1887,
17269-2019,17269,2019,4403,,,1197,
17272-2019,17272,2019,5308,,,1542,
17275-2019,17275,2019,5208,,,1314,
17278-2019,17278,2019,9058,,,2425,
17281-2019,17281,2019,6616,,,1673,
17284-2019,17284,2019,9379,,,2304,
17287-2019,17287,2019,12307,,,3220,
17290-2019,17290,2019,6981,,,1751,
17293-2019,17293,2019,2878,,,721,
17296-2019,17296,2019,7400,,,1843,
17299-2019,17299,2019,9707,,,2405,
17302-2019,17302,2019,5253,,,1289,
17305-2019,17305,2019,4548,,,1082,
17308-2019,17308,2019,6887,,,1684,
17311-2019,17311,2019,2625,,,705,
17314-2019,17314,2019,7429,,,1718,
17317-2019,17317,2019,6557,,,1639,
17320-2019,17320,2019,6856,,,1732,
17323-2019,17323,2019,4508,,,1144,
17325-2019,17325,2019,8351,,,2032,
17326-2019,17326,2019,7022,,,1748,
17329-2019,17329,2019,5401,,,1319,
17332-2019,17332,2019,3597,,,863,
17335-2019,17335,2019,3408,,,873,
17338-2019,17338,2019,4075,,,983,
17341-2019,17341,2019,2796,,,746,
17344-2019,17344,2019,7499,,,1803,
17347-2019,17347,2019,4280,,,1010,
17350-2019,17350,2019,5966,,,1485,
17353-2019,17353,2019,8003,,,1785,
17356-2019,17356,2019,9239,,,2135,
17357-2019,17357,2019,7339,,,1801,
17359-2019,17359,2019,5009,,,1135,
17362-2019,17362,2019,3445,,,729,
17365-2019,17365,2019,5409,,,1222,
17368-2019,17368,2019,5045,,,1213,
17371-2019,17371,2019,3071,,,685,
17374-2019,17374,2019,8708,,,2002,
17377-2019,17377,2019,7446,,,1695,
17380-2019,17380,2019,3963,,,852,
17383-2019,17383,2019,7747,,,1673,
17386-2019,17386,2019,5228,,,1176,
17389-2019,17389,2019,6855,,,1723,
17392-2019,17392,2019,14539,,,3491,
17395-2019,17395,2019,8566,,,2038,
17398-2019,17398,2019,10218,,,2517,
17401-2019,17401,2019,14339,,,3310,
17404-2019,17404,2019,7120,,,1638,
17407-2019,17407,2019,5449,,,1223,
17410-2019,17410,2019,6227,,,1389,
17413-2019,17413,2019,11968,,,2818,
17416-2019,17416,2019,5024,,,1179,
17419-2019,17419,2019,8963,,,2083,
17422-2019,17422,2019,6551,,,1452,
17425-2019,17425,2019,6542,,,1467,
17428-2019,17428,2019,7866,,,1864,
17431-2019,17431,2019,10586,,,2579,
17434-2019,17434,2019,11054,,,2702,
17437-2019,17437,2019,5945,,,1344,
17440-2019,17440,2019,6981,,,1625,
17443-2019,17443,2019,5590,,,1294,
17446-2019,17446,2019,11572,,,2833,
17449-2019,17449,2019,8115,,,1934,
17452-2019,17452,2019,14707,,,3508,
17455-2019,17455,2019,4846,,,1175,
17458-2019,17458,2019,6956,,,1627,
17461-2019,17461,2019,4967,,,1122,
17464-2019,17464,2019,11351,,,2807,
17467-2019,17467,2019,4899,,,1128,
17476-2019,17476,2019,7282,,,1736,
17479-2019,17479,2019,12617,,,2885,
17482-2019,17482,2019,7812,,,1822,
17485-2019,17485,2019,4983,,,1148,
17488-2019,17488,2019,7817,,,1758,
17491-2019,17491,2019,5972,,,1384,
17494-2019,17494,2019,6345,,,1476,
17497-2019,17497,2019,11016,,,2580,
17500-2019,17500,2019,5423,,,1270,
17503-2019,17503,2019,8440,,,1972,
17506-2019,17506,2019,4855,,,1142,
17509-2019,17509,2019,7627,,,1855,
17510-2019,17510,2019,6301,,,1528,
17512-2019,17512,2019,8507,,,2039,
17515-2019,17515,2019,10167,,,2529,
17518-2019,17518,2019,9282,,,2299,
17521-2019,17521,2019,3601,,,814,
17524-2019,17524,2019,5774,,,1380,
17525-2019,17525,2019,6606,,,1668,
17527-2019,17527,2019,17241,,,4088,
17530-2019,17530,2019,10072,,,2458,
17533-2019,17533,2019,7676,,,1883,
17536-2019,17536,2019,6947,,,1706,
17539-2019,17539,2019,11426,,,2775,
17542-2019,17542,2019,7215,,,1807,
17545-2019,17545,2019,8318,,,2074,
17548-2019,17548,2019,7816,,,1905,
17551-2019,17551,2019,5058,,,1196,
17554-2019,17554,2019,6822,,,1603,
17557-2019,17557,2019,9083,,,2176,
17560-2019,17560,2019,6544,,,1526,
17563-2019,17563,2019,7196,,,1716,
17566-2019,17566,2019,7951,,,1841,
17569-2019,17569,2019,6199,,,1490,
17572-2019,17572,2019,9045,,,2154,
17575-2019,17575,2019,6193,,,1538,
17578-2019,17578,2019,9867,,,2357,
17581-2019,17581,2019,5788,,,1378,
17584-2019,17584,2019,6084,,,1431,
17587-2019,17587,2019,8616,,,2105,
17590-2019,17590,2019,3936,,,1023,
17593-2019,17593,2019,7252,,,1741,
17596-2019,17596,2019,7532,,,1809,
17599-2019,17599,2019,3376,,,823,
17602-2019,17602,2019,7393,,,1735,
17605-2019,17605,2019,8261,,,2058,
17608-2019,17608,2019,8992,,,2179,
17611-2019,17611,2019,12483,,,3007,
17614-2019,17614,2019,8297,,,2061,
17617-2019,17617,2019,10102,,,2630,
17619-2019,17619,2019,8485,,,2150,
17620-2019,17620,2019,4021,,,976,
17623-2019,17623,2019,6355,,,1420,
17626-2019,17626,2019,4156,,,928,
17629-2019,17629,2019,3813,,,913,
17632-2019,17632,2019,3497,,,858,
17635-2019,17635,2019,3390,,,745,
17638-2019,17638,2019,4649,,,1128,
17641-2019,17641,2019,10379,,,2510,
17644-2019,17644,2019,8710,,,2169,
17647-2019,17647,2019,6845,,,1559,
17650-2019,17650,2019,5793,,,1405,
17653-2019,17653,2019,6758,,,1585,
17656-2019,17656,2019,5811,,,1385,
17659-2019,17659,2019,6101,,,1427,
17662-2019,17662,2019,5752,,,1367,
17665-2019,17665,2019,4930,,,1125,
17668-2019,17668,2019,8030,,,1955,
17671-2019,17671,2019,4136,,,980,
17674-2019,17674,2019,6470,,,1523,
17677-2019,17677,2019,6804,,,1521,
17680-2019,17680,2019,5956,,,1461,
17683-2019,17683,2019,5724,,,1344,
17686-2019,17686,2019,5477,,,1266,
17689-2019,17689,2019,6892,,,1615,
17692-2019,17692,2019,8122,,,1898,
17695-2019,17695,2019,5446,,,1211,
17698-2019,17698,2019,6134,,,1477,
17701-2019,17701,2019,7907,,,1874,
17704-2019,17704,2019,5887,,,1407,
17707-2019,17707,2019,10692,,,2581,
17710-2019,17710,2019,9947,,,2394,
17713-2019,17713,2019,8963,,,2041,
17716-2019,17716,2019,7611,,,1578,
17719-2019,17719,2019,4332,,,920,
17722-2019,17722,2019,5763,,,1397,
17723-2019,17723,2019,5517,,,1550,
17725-2019,17725,2019,2683,,,594,
17728-2019,17728,2019,6310,,,1396,
17731-2019,17731,2019,8242,,,1929,
